"","word","freq"
"legend","legend",4
"legends","legends",4
"lembrasure","lembrasure",4
"leurs","leurs",4
"literature","literature",4
"look","look",4
"lucerna","lucerna",4
"mackenna","mackenna",4
"magazines","magazines",4
"maior","maior",4
"mapa","mapa",4
"marcel","marcel",4
"markets","markets",4
"matter","matter",4
"medicina","medicina",4
"meninas","meninas",4
"menotti","menotti",4
"metal","metal",4
"midwest","midwest",4
"might","might",4
"min","min",4
"mind","mind",4
"modification","modification",4
"molto","molto",4
"moreira","moreira",4
"mount","mount",4
"movimentos","movimentos",4
"mundos","mundos",4
"musical","musical",4
"musik","musik",4
"naissance","naissance",4
"names","names",4
"nationally","nationally",4
"near","near",4
"nearly","nearly",4
"need","need",4
"nesta","nesta",4
"nights","nights",4
"noh","noh",4
"nom","nom",4
"nominale","nominale",4
"nonprofit","nonprofit",4
"north","north",4
"nostra","nostra",4
"notte","notte",4
"november","november",4
"occasion","occasion",4
"offered","offered",4
"oliveira","oliveira",4
"painted","painted",4
"pakistan","pakistan",4
"palestras","palestras",4
"parcheggio","parcheggio",4
"parkings","parkings",4
"parte","parte",4
"participantes","participantes",4
"participer","participer",4
"partners","partners",4
"parvati","parvati",4
"pays","pays",4
"paz","paz",4
"pedro","pedro",4
"penney","penney",4
"personnes","personnes",4
"photographs","photographs",4
"photos","photos",4
"pickin","pickin",4
"piece","piece",4
"pintura","pintura",4
"pizza","pizza",4
"plata","plata",4
"platform","platform",4
"play","play",4
"playing","playing",4
"pod","pod",4
"podemos","podemos",4
"points","points",4
"pontos","pontos",4
"possible","possible",4
"posto","posto",4
"pouvez","pouvez",4
